Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
1/1/2021,COVID-21: Lethal Virus,"The climate change has released an ancient rabies virus trapped in the Antarctica ice. A female scientist tries to get to the laboratory to create a cure to save the world, protected by an eccentric and two members of the special forces.",21.999,219,5.5,en,"Science Fiction, Thriller, Horror",https://image.tmdb.org/t/p/original/5z8wVwHtFXbRWP2dwVPTj9906HS.jpg
1/1/2021,Shadow in the Cloud,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,66.479,545,5.8,en,"Horror, Action, War",https://image.tmdb.org/t/p/original/t7EUMSlfUN3jUSZUJOLURAzJzZs.jpg
1/1/2021,The Last Warrior: Root of Evil,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",391.957,89,7.1,ru,"Fantasy, Adventure, Comedy",https://image.tmdb.org/t/p/original/4qE7mvUYGY5epfcgeJpM6EfHgq5.jpg
1/1/2021,The Ogglies: Welcome to Smelliville,"The Oggly family arrive at the municipal rubbish dump of Smelliville and must look for a new home, but they never feel really welcome anywhere. They stink and are for most humans just a tad too oggly. When Firebottom, the family dragon, crash-lands on the run-down rubbish tip of the small town of Smelliville, the Ogglies at once feel at home. And it's here they want to stay.",49.618,43,7.3,en,"Animation, Drama, Adventure, Family",https://image.tmdb.org/t/p/original/w7PJ7fBEYOuaAMKfYa4zmw45v3N.jpg
1/2/2021,Stranded,Tensions run high while food runs low as six influencers find themselves stranded on a secluded island after plans for a weekend escape go awry.,28.112,38,4.8,pt,Drama,https://image.tmdb.org/t/p/original/jZonuUeC9bH2D5A609w7nkplhyj.jpg
1/7/2021,Maya the Bee: The Golden Orb,"When Maya, a headstrong little bee, and her best friend Willi, rescue an ant princess they find themselves in the middle of an epic bug battle that will take them to strange new worlds and test their friendship to its limits.",55.968,67,6.6,en,"Adventure, Animation, Family",https://image.tmdb.org/t/p/original/tMS2qcbhbkFpcwLnbUE9o9IK4HH.jpg
1/8/2021,Redemption Day,"When his wife is kidnapped by terrorists for ransom, veteran war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against powerful and dark forces.",137.585,194,6.3,en,Action,https://image.tmdb.org/t/p/original/y1Tk1LUwS3nRlugiXnag6Bu1ToG.jpg
1/12/2021,Batman: Soul of the Dragon,"Bruce Wayne faces a deadly menace from his past, with the help of three former classmates: world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva.",57.707,217,7,en,"Animation, Action, Adventure, Crime, Fantasy",https://image.tmdb.org/t/p/original/uDhnTtSxU5a8DtZdbbin3aZmkmU.jpg
1/12/2021,Butchers,"A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat.",79.58,140,4.9,en,Horror,https://image.tmdb.org/t/p/original/xLbuMxKORru3oTlItLBWpI5WJxR.jpg
1/13/2021,Monster Family 2,"To free Baba Yaga and Renfield from the clutches of Monster Hunter Mila Starr, the Wishbone Family once more transforms into a Vampire, Frankenstein's Monster, a Mummy and a Werewolf but when aided by their three pet bats, the Monster Family zooms around the world again to save their friends, make new monstrous acquaintances.",167.912,28,7.1,en,"Animation, Family",https://image.tmdb.org/t/p/original/ypT4MsOuJrrFtlGShj3DrllIHN3.jpg
1/13/2021,The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,20.821,658,6.9,en,Drama,https://image.tmdb.org/t/p/original/7K4mdWaLGF2F4ASb2L12tlya9c9.jpg
1/14/2021,Bloody Hell,"A man with a mysterious past flees the country to escape his own personal hell... only to arrive somewhere much worse. In an effort to survive this new horror, he turns to his personified conscience.",14.788,102,6.5,en,"Horror, Comedy",https://image.tmdb.org/t/p/original/h9xcYfPZ19qAeJf0RmPnWf7pgAQ.jpg
1/14/2021,Music,"Zu, a free spirit estranged from her family, suddenly finds herself the sole guardian of her half-sister, Music, a teenager on the autism spectrum whose whole world order has been beautifully crafted by her late grandmother. The film soon challenges whether it is Zu or Music who has a better view of the world, and that love, trust, and being able to be there for each other is everything.",19.612,94,5.7,en,"Music, Drama",https://image.tmdb.org/t/p/original/xzDXq7ofNkvIovB6Vb8KZpjqkK0.jpg
1/14/2021,The Dig,"As WWII looms, a wealthy widow hires an amateur archaeologist to excavate the burial mounds on her estate. When they make a historic discovery, the echoes of Britain's past resonate in the face of its uncertain future‎.",20.083,848,6.9,en,"Drama, History",https://image.tmdb.org/t/p/original/dFDNb9Gk1kyLRcconpj7Mc7C7IL.jpg
1/15/2021,Double Dad,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is.",17.585,133,6.8,pt,"Comedy, Drama, Family",https://image.tmdb.org/t/p/original/4oO0eRoCtA8pDV67VRpGeXBhtxH.jpg
1/15/2021,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",101.732,1416,6.4,en,"Thriller, Action, Science Fiction",https://image.tmdb.org/t/p/original/6XYLiMxHAaCsoyrVo38LBWMw2p8.jpg
1/15/2021,The Lift,"On their fifth wedding anniversary, Sitio and Ana start arguing inside an elevator that keeps opening in their same floor. Emotionally and physically trapped, the two will have to work together to find a way out.",13.892,46,6,es,"Science Fiction, Romance, Comedy",https://image.tmdb.org/t/p/original/rexHPVJLZxTMTSRIsEjelkhk0Td.jpg
1/15/2021,The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",158.638,1118,7,en,"Action, Thriller, Crime",https://image.tmdb.org/t/p/original/6vcDalR50RWa309vBH1NLmG2rjQ.jpg
1/15/2021,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,149.833,783,8.1,en,"Animation, Family, Comedy, Fantasy",https://image.tmdb.org/t/p/original/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg
1/20/2021,Jumanji: Level One,"Set in 1869, two children receive a mysterious game after their father goes missing in the jungles of Africa. They unravel both the secret of their father’s disappearance and the origin of Jumanji.  See how it all began.",24.522,61,6.2,en,"Adventure, Action",https://image.tmdb.org/t/p/original/mI7sIBqIsCsTjLvuiVVTfvW3FLU.jpg
1/21/2021,Penguin Bloom,"When an unlikely ally enters the Bloom family's world in the form of an injured baby magpie they name Penguin, the bird’s arrival makes a profound difference in the struggling family’s life.",27.765,171,7.2,en,Drama,https://image.tmdb.org/t/p/original/iUn7594Rwfstu5njA8hf9WQIcFi.jpg
1/22/2021,Brothers by Blood,"Peter and Michael, raised on the streets of Philadelphia, are the children of Irish mob members, forever linked by the crimes of their fathers. 30 years later, Michael now runs the criminal organization and lusts for more power, his dangerous antics frequently held in check by his cautious cousin Peter. Haunted by the death of his sister, whose passing destroyed both his parents, Peter is caught between the dreams of childhood and the realities of his life as an enforcer. His only reprieve is a local boxing gym, a sanctuary that is quickly threatened as Michael’s desire for control escalates.",64.013,109,5.8,en,Crime,https://image.tmdb.org/t/p/original/2RKGUCbo2R6IDsufxApL6nRFL4j.jpg
1/22/2021,Narco Sub,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",166.671,183,6.7,en,"Action, Drama, Crime",https://image.tmdb.org/t/p/original/7p0O4mKYLIhU2E5Zcq9Z3vOZ4e9.jpg
1/22/2021,The Sadness,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact in the most cruel and ghastly things imaginable.",37.867,17,6.4,zh,"Thriller, Horror",https://image.tmdb.org/t/p/original/46BJq8WM3nN4xvpAOkSbmoODCsy.jpg
1/22/2021,Twist,"A Dickens classic brought thrillingly up to date in the teeming heartland of modern London, where a group of street smart young hustlers plan the heist of the century for the ultimate payday.",58.565,135,6.1,en,"Crime, Drama, Action",https://image.tmdb.org/t/p/original/7sXthW46RwmPBdacGHnhOzLv40d.jpg
1/26/2021,Caged,"An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.",105.323,49,6.2,en,"Thriller, Horror",https://image.tmdb.org/t/p/original/8NUM43rtQSt0chumXGJPvnYb01I.jpg
1/26/2021,Wrong Turn,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",120.352,687,6,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg
1/27/2021,Earwig and the Witch,A headstrong orphan discovers a world of spells and potions while living with a selfish witch.,47.305,140,6.1,ja,"Animation, Fantasy, Family",https://image.tmdb.org/t/p/original/86jyzdxtAX8p956rVQDKwGbrYh2.jpg
1/28/2021,Breaking News in Yuba County,"An overlooked pencil-pusher catches her husband in bed with another woman, the shock of which causes him to die of a heart attack. So she buries his body and takes advantage of the growing celebrity status that comes from having a missing husband. But she quickly finds herself in over her head, dodging cops and criminals, all while trying to keep the truth from her sister, a local news anchor who’s desperate for a story.",16.371,97,5.9,en,"Comedy, Drama, Crime, Thriller",https://image.tmdb.org/t/p/original/pMyCYtgfBmMisX3RFc5eH6zIV5Y.jpg
1/28/2021,Clean,"Tormented by a past life, garbage man Clean attempts a life of quiet redemption. But when his good intentions mark him a target of a local crime boss, Clean is forced to reconcile with the violence of his past",24.796,50,6.6,en,"Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/kRpKJstAW7DsoPAEBW2Kk1uD9Q6.jpg
1/28/2021,The Little Things,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",74.482,1494,6.4,en,"Thriller, Crime, Drama",https://image.tmdb.org/t/p/original/tLO1aD1ghdtVMT32z2sRmzgYKYd.jpg
1/29/2021,Below Zero,"When a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures.",98.934,716,6.4,es,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/oYEORVxp2ZfknTQYhEsNkv2HYss.jpg
1/29/2021,Finding 'Ohana,"Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.",60.365,292,6.5,en,"Action, Adventure, Comedy, Family",https://image.tmdb.org/t/p/original/tTWl37oAYRXS3D5mEHmjveXXyrN.jpg
1/29/2021,Five Nights at Freddy's: Home Breach,"A young woman is terrified as the events and characters of the FNAF Universe come to life and haunt her in her home, via a mobile game.",20.01,2,6,en,Horror,https://image.tmdb.org/t/p/original/xS73uuEHFNkWhPJG0EZV9iPGzFb.jpg
1/29/2021,Malcolm & Marie,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.",35.437,1047,7,en,"Drama, Romance",https://image.tmdb.org/t/p/original/bdidDnAZwchN5vTenoNuhGPJTri.jpg
1/29/2021,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",98.994,738,8.1,en,Drama,https://image.tmdb.org/t/p/original/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg
1/29/2021,The Mad Hatter,"An eccentric professor takes four of his students to the mansion of the “Mad Hatter”, an urban legend driven insane by mercury poisoning and grief. He says that there’s nothing to worry about now: the strange, shambling “caretakers” that haunt the home are merely servants that have fallen to inbreeding, and the Hatter himself has been dead for years. But as the students start disappearing one by one, those that remain start to question if the professor’s experiment is truly scientific...and if the Hatter didn’t just succumb to his madness, but decided to spread it...",61.894,47,5.8,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/lTUfalNirpq7SBASa6lnzs27iam.jpg
1/30/2021,Prime Time,"On the last day of 1999, 20-year-old Sebastian locks himself in a TV studio. He has two hostages, a gun, and an important message for the world. The story of the attack explores a rebel’s extreme measures and last resort.",23.827,67,5,pl,"Drama, Thriller",https://image.tmdb.org/t/p/original/mEegKDrhRZVnn0Y87TdKqGwjowo.jpg
2/1/2021,More Than Miyagi: The Pat Morita Story,"The Oscar nominated actor best known for his role of Mr. Miyagi, left behind a painfully revealing autobiographical record of his much-too-brief time here on earth. Tracing his journey from being bed bound as a boy to the bright lights and discrimination in Hollywood. Deep inside that sweet, generous, multi-talented performer seethed an army of demons, that even alcohol and drugs couldn't mask.",27.742,26,7.1,en,Documentary,https://image.tmdb.org/t/p/original/t3BkZXZe6mXz971OsvVh9wHaC53.jpg
2/3/2021,Please Enlighten Me,"A  story between Lin Zhi Xiao, a graduating student from the Conservatory of Music, and her father's attending physician Gu Wei. Fourth-year student Lin Zhi Xiao hits rock bottom right before her graduation. Her father is hospitalized due to cancer leaving her no choice but to give up the chance to work at a reputable company. She also bears the pain from a relationship that has ended. All her beautiful imaginations towards love and her future are shattered in an instant. Just then, her father's doctor Gu Wei walks into Lin Zhi Xiao's life. When love begins, people often don't know that it's love. Two people who have been hurt before and no longer believe in love start to get to know each other. There are uncertainties and setbacks, misunderstandings and downturns, but in the process of falling in love, they become more assured that they have found the person to whom they can entrust the rest of their lives.",103.591,1,2,zh,Romance,https://image.tmdb.org/t/p/original/sGbDFapR6XNPk6k4RHi2Bj3oNO6.jpg
2/4/2021,Daisy Quokka: World’s Scariest Animal,"When an unbearably adorable, eternally optimistic Quokka named Daisy wants to achieve the impossible – to win the annual ‘World’s Scariest Animal’ championship, she enlists the guidance of a washed-up, former champion, a grouchy Saltwater Crocodile, to help her achieve her dreams and prove that champions can come in all sizes.",48.282,52,6.9,en,"Animation, Comedy, Family",https://image.tmdb.org/t/p/original/jjV1DY1SlGI1eUJAXSdre8bpw7t.jpg
2/5/2021,Bliss,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is just a computer simulation. Doubtful at first, Greg eventually discovers there may be some truth to Isabel’s wild conspiracy.",30.494,454,5.5,en,"Science Fiction, Romance, Drama",https://image.tmdb.org/t/p/original/tbTiSr0v9g8Q34MIeIcT0o2vGus.jpg
2/5/2021,G-Zombie,Sara is a research student who wants to make an immunity booster to save humanity. Her experiment however turns people into zombies and in comes Dhruva to save the day.,21.191,26,4.8,te,"Horror, Fantasy, Comedy",https://image.tmdb.org/t/p/original/2suj5y3WMaSC7zg4L9kMnsRiomy.jpg
2/5/2021,Space Sweepers,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",87.235,739,7.2,ko,"Drama, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/qiUesQForGW872kIC0Crqx3vAr0.jpg
2/5/2021,"Strip Down, Rise Up","The feature documentary follows women of all walks of life, all ages and ethnic backgrounds, as they shed trauma, body image shame, sexual abuse and other issues locked in their bodies, and embark on a journey to reclaim themselves. The film also gives a rare window into the world of Pole artistry and expression.",20.922,36,7.1,en,Documentary,https://image.tmdb.org/t/p/original/CXQ5zOrhHGcw1imsRMwa7W8izS.jpg
2/5/2021,The Last Paradiso,"In 1950s Italy, a farmer's dream of improving workers’ living conditions collapses when he falls for a landowner's daughter. Based on true events.",19.99,95,6,it,"Drama, Romance",https://image.tmdb.org/t/p/original/blB1T2zUAqP9Qv8dyoB9Xn7W7qI.jpg
2/5/2021,The Reckoning,"In the aftermath of the Great Plague and amidst the subsequent witch-hunts against women, a young widow grapples with the tragic death of her husband in a society completely consumed by fear and death. Because she rejects the advances of her landlord, she is falsely accused of being a witch and thrown in jail for a crime she didn’t commit. She must endure physical persecution at the hands of England’s most ruthless witch-hunter and face her own inner demons as the devil himself starts to work his way into her mind.",16.732,62,5.4,en,"Horror, Drama",https://image.tmdb.org/t/p/original/3jdBOApDt1DXlJtdzUtp76DhmmP.jpg
2/5/2021,The Right One,"Sara, a novelist struggling with writer's block, needs inspiration — and finds it when she serendipitously meets Godfrey, a down-on-his-luck oddball who constantly changes personas and alter egos in order to cope with his past and avoid reality. Just as Godfrey begins to open up to Sara, he discovers that she’s been using him as inspiration for her next novel, and he vanishes from her life. Did Sara just lose the man of her dreams, or will she be able to find him and make things right?",17.174,26,6.8,en,"Comedy, Romance",https://image.tmdb.org/t/p/original/AgX0Yez6cYoFZeGGmaAIKDduhYT.jpg
2/6/2021,New Gods: Nezha Reborn,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",76.024,255,8.3,zh,"Animation, Action, Fantasy",https://image.tmdb.org/t/p/original/lBfBMeNJFfUvpkQsXsMwjcbNcp2.jpg
2/9/2021,Ainbo: Spirit of the Amazon,"An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.",188.484,285,7.1,en,"Adventure, Animation, Family, Fantasy",https://image.tmdb.org/t/p/original/l8HyObVj8fPrzacAPtGWWLDhcfh.jpg
2/9/2021,Ride or Die,"Ashley, a fierce friend to Mandy, takes the phrase ""hurt my friend and I'll kill you"" to the extreme. As the bodies stack up, her mistakes haunt her as Mandy tries to dig up old wounds.",14.891,3,5.7,en,"Crime, Drama, Romance",https://image.tmdb.org/t/p/original/77S8LQNkB0se2nk15X1d22QV1d1.jpg
2/9/2021,Sacrifice,Isaac and his pregnant wife visit a remote Norwegian village to claim an unexpected inheritance. The couple finds themselves caught in a nightmare when they encounter a sinister cult that worships a sea-dwelling deity.,17.741,21,5.1,en,Horror,https://image.tmdb.org/t/p/original/xXI5Lg6mJLEesTggRJBrq50vrqU.jpg
2/10/2021,The Mauritanian,"The true story of the Mauritanian Mohamedou Ould Slahi, who was held at the U.S military's Guantanamo Bay detention center without charges for over a decade and sought help from a defense attorney for his release.",28.388,680,7.5,en,"Drama, Thriller",https://image.tmdb.org/t/p/original/lIADEa6oH74uUapjsPbNRzxus8M.jpg
2/10/2021,Tom & Jerry,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",197.721,1948,7,en,"Comedy, Family, Animation",https://image.tmdb.org/t/p/original/8XZI9QZ7Pm3fVkigWJPbrXCMzjq.jpg
2/11/2021,Dark Spell,Terror strikes when a heartbroken woman uses black magic to get her husband back.,308.037,80,6.7,ru,"Romance, Horror, Thriller",https://image.tmdb.org/t/p/original/2AbGdSGlU6CpiV3lswHUgE5CdAA.jpg
2/11/2021,Extinct,"Op and Ed, two adorable donut-shaped animals - flummels - accidentally time-travel from 1835 to modern-day Shanghai.  There they discover traffic, trans fats, and worst of all, that flummels are now extinct. It's up to this bumbling pair to save themselves and their species...and, just maybe, change the course of history.",102.503,81,6.5,en,"Animation, Comedy, Family, Adventure",https://image.tmdb.org/t/p/original/tRnPT88iD5zgeUPjHqaZznrxk5m.jpg
2/11/2021,Long Story Short,"Teddy wakes up the morning after his wedding to discover that he's jumped forward a year in his life to his first anniversary. Trapped in an endless cycle of time jumps, transported another year ahead every few minutes, he is faced with a race against time as his life crumbles around him.",75.473,105,7,en,"Romance, Comedy, Fantasy",https://image.tmdb.org/t/p/original/oAJ95mBgB0yAKCS5a3Tw5UxjLEp.jpg
2/11/2021,Pretty Guardian Sailor Moon Eternal The Movie Part 2,"While under the care of the Outer Sailor Guardians, Hotaru begins to age rapidly. Then, the time comes for all the Sailor Guardians to reunite!",192.922,102,8.1,ja,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",https://image.tmdb.org/t/p/original/f91rtk8dODezNLT3grQrELyzFwA.jpg
2/11/2021,Red Dot,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",65.705,574,5.9,sv,"Thriller, Horror",https://image.tmdb.org/t/p/original/xZ2KER2gOHbuHP2GJoODuXDSZCb.jpg
2/11/2021,Squared Love,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,21.129,229,6.1,pl,"Comedy, Romance",https://image.tmdb.org/t/p/original/qeRCXsOitUdtDXc5sSVgwYGTZyg.jpg
2/12/2021,A Writer's Odyssey,"Kongwen Lu is the author of a fantasy novel series following a heroic teenager, also named Kongwen, on a quest to end the tyrannical rule of Lord Redmane, under the guidance of a Black Armor. But through a strange twist of fate, the fantasy world of the novel begins to impact life in the real world, leading Guan Ning to accept a mission from Tu Ling to kill the author.",31.294,130,7.4,zh,"Drama, Action, Fantasy",https://image.tmdb.org/t/p/original/sMLOkezoaVuN08QiqJZ5aL8t73G.jpg
2/12/2021,Fear of Rain,"A teenage girl living with schizophrenia begins to suspect her neighbor has kidnapped a child. Her parents try desperately to help her live a normal life, without exposing their own tragic secrets, and the only person who believes her is Caleb – a boy she isn’t even sure exists.",67.734,341,7.2,en,"Thriller, Horror, Drama",https://image.tmdb.org/t/p/original/b2shaNA4F8zNIwoRYr33lPTiFfl.jpg
2/12/2021,French Exit,"“My plan was to die before the money ran out,” says 60-year-old penniless Manhattan socialite Frances Price, but things didn’t go as planned. Her husband Franklin has been dead for 12 years and with his vast inheritance gone, she cashes in the last of her possessions and resolves to live out her twilight days anonymously in a borrowed apartment in Paris, accompanied by her directionless son Malcolm and a cat named Small Frank—who may or may not embody the spirit of Frances’s dead husband.",20.527,76,5.8,en,"Drama, Comedy",https://image.tmdb.org/t/p/original/9fyG5y5czwDVOSRsrkSjaob1Hsc.jpg
2/12/2021,Hate by Dani Rovira,An uncensored monologue by Dani Rovira about today's society.,17.164,34,7.4,es,Comedy,https://image.tmdb.org/t/p/original/253hyOYeSStw3uE9ibKIeJGRaHJ.jpg
2/12/2021,Judas and the Black Messiah,Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,22.718,966,7.4,en,"Drama, History",https://image.tmdb.org/t/p/original/iIgr75GoqFxe1X5Wz9siOODGe9u.jpg
2/12/2021,Land,"Edee, in the aftermath of an unfathomable event, finds herself unable to stay connected to the world she once knew and in the face of that uncertainty, retreats to the magnificent, but unforgiving, wilds of the Rockies. After a local hunter brings her back from the brink of death, she must find a way to live again.",16.031,143,6.9,en,Drama,https://image.tmdb.org/t/p/original/6pYhDPzYPGKvDYpxdf0IUE3RDAS.jpg
2/12/2021,Marvel's Behind the Mask,A documentary special that explores the power of identity behind the iconic superheroes we know and love today. These legendary Marvel creations and stories have not only reflected the world outside our window – they have become a reflection of our own identities and who we truly are.,20.612,28,7.6,en,Documentary,https://image.tmdb.org/t/p/original/p71YgDQk5sFHTqF3FBygLPmZEX5.jpg
2/12/2021,Minari,"A Korean-American family moves to Arkansas in search of their own American Dream. With the arrival of their sly, foul-mouthed, but incredibly loving grandmother, the stability of their relationships is challenged even more in this new life in the rugged Ozarks, testing the undeniable resilience of family and what really makes a home.",28.534,1026,7.4,en,Drama,https://image.tmdb.org/t/p/original/6mPNdmjdbVKPITv3LLCmQoKs9Zw.jpg
2/12/2021,Tentacles,"A young Los Angeles couple Tara and Sam fall head over heels into a new romance, entwining their lives—until their intimacy transforms into something terrifying.",88.48,88,6.3,en,"Horror, Romance",https://image.tmdb.org/t/p/original/rRfcH0jg9X8czKJhXCnny45NSWt.jpg
2/12/2021,The World to Come,"In 1856, two women forge a close connection despite their isolation on the American frontier.",31.761,183,7.2,en,"Romance, Drama, Western",https://image.tmdb.org/t/p/original/j64CnpmbaKB90Cpprk5hM9kHyJI.jpg
2/12/2021,The Yin Yang Master,"The world is on the verge of a devastating war with monsters who are coming to retrieve the Scaling Stone. Yin Yang Master Qingming's life is in danger and he travels to different worlds to prepare for the upcoming assaults. On his journey, Qingming finds that the key to all the calamities is embracing his hybrid identity of both human and monster.",14.188,41,6.8,zh,"Action, Adventure, Drama, Fantasy, Romance",https://image.tmdb.org/t/p/original/6RJwhxEtEFZKC8ogLJ4eBwr42yc.jpg
2/12/2021,To All the Boys: Always and Forever,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,52.263,1522,7.7,en,"Romance, Comedy, Drama",https://image.tmdb.org/t/p/original/iepqdM52f4w75fNcvgRF5QoIAjm.jpg
2/12/2021,Willy's Wonderland,"When his car breaks down, a quiet loner agrees to clean an abandoned family fun center in exchange for repairs. He soon finds himself waging war against possessed animatronic mascots while trapped inside Willy's Wonderland.",84.013,479,6.3,en,"Action, Horror, Comedy",https://image.tmdb.org/t/p/original/keEnkeAvifw8NSEC4f6WsqeLJgF.jpg
2/13/2021,Death Saved My Life,"On the surface it seems Jade has it all, including a successful marketing career, a husband admired and respected in the community, and a young daughter they both dote on. However, behind closed doors, her life is far from perfect.",14.519,14,7,en,"Thriller, TV Movie",https://image.tmdb.org/t/p/original/n2S4AMsZG7PZmSLgDhPCKk5VakT.jpg
2/18/2021,Upon the Magic Roads,"Romantic John the Fool and his friend Foal set out on a series of unpredictable adventures in different magical worlds. The two buddies will have to outsmart an evil tyrant king, catch the firebird, and find John’s true love.",14.389,23,6.5,ru,"Adventure, Fantasy",https://image.tmdb.org/t/p/original/eF66ncsrVgVX0Js5xGezRCapTjD.jpg
2/19/2021,BIA: An Upside Down World,"In this alternate world, Bia and Manuel will have a tempestuous relationship. Pixie, the hateful and stunning owner of Laix, decides to buy the Fundom. The great conflict erupts when Pixie announces a concert. This will have Bia and Helena, who in this upside down universe are divas and rivals, fighting to be the headliner in the final show.",43.478,114,7.8,es,"Comedy, Drama, Family",https://image.tmdb.org/t/p/original/eIxLHFMAsdbZGZws0duowTa4N6k.jpg
2/19/2021,Body Brokers,"Utah and his girlfriend Opal, are drug addicts living on the streets in rural Ohio. After getting recruited by body broker Wood, and offered treatment in Los Angeles, Wood takes Utah under his wing and introduces him to treatment center mogul Vin. Wood and Vin bring Utah in on their lucrative and illegal dealings, where saving lives comes second to the bottom line.",106.645,56,6.5,en,"Thriller, Crime",https://image.tmdb.org/t/p/original/fNQUUrtlN79pDIMAPigX8NUvNW2.jpg
2/19/2021,Boss Level,"A former special forces agent is trapped in a time loop and relives his death over and over again. To escape the terrible situation, he must track down those responsible and stop them.",42.842,938,6.9,en,"Action, Science Fiction, Thriller",https://image.tmdb.org/t/p/original/i6QFXv4lZyxRMknH0EDkCIz02XP.jpg
2/19/2021,Flora & Ulysses,"When Flora rescues a squirrel she names Ulysses, she is amazed to discover he possesses unique superhero powers, which take them on an adventure of humorous complications that ultimately change Flora's life--and her outlook--forever.",53.402,179,6.6,en,"Family, Adventure, Comedy, Fantasy",https://image.tmdb.org/t/p/original/syobJCxZcIJl0OpjNroZSQKa1kW.jpg
